pcode;source;value
10101;510;0
10101;Madzi Alipo;2
10101;WPDx;9
10102;510;0
10102;OSM;2
10103;510;0
10103;Madzi Alipo;13
10103;WPDx;8
10104;510;0
10104;Madzi Alipo;20
10104;WPDx;24
10105;510;0
10105;WPDx;2
10106;510;0
10120;510;0
10120;WPDx;2
10201;510;0
10201;DoIWD;730
10201;OSM;7
10201;WPDx;8
10202;510;0
10202;DoIWD;120
10203;510;0
10203;DoIWD;600
10203;Madzi Alipo;21
10203;WPDx;21
10204;510;0
10204;DoIWD;604
10204;Madzi Alipo;3
10204;WPDx;3
10205;DoIWD;194
10205;Madzi Alipo;2
10205;WPDx;2
10206;510;0
10220;510;0
10220;DoIWD;88
10220;Madzi Alipo;6
10220;WPDx;6
10301;510;0
10301;DoIWD;209
10301;Madzi Alipo;1
10301;WPDx;1
10302;510;0
10302;DoIWD;88
10303;DoIWD;68
10304;510;0
10304;DoIWD;99
10305;510;0
10305;DoIWD;85
10306;510;0
10306;DoIWD;120
10306;Madzi Alipo;1
10306;WPDx;1
10307;510;0
10307;DoIWD;74
10308;510;0
10308;DoIWD;63
10308;Madzi Alipo;1
10308;WPDx;1
10309;510;0
10309;DoIWD;98
10310;DoIWD;66
10311;DoIWD;8
10312;510;0
10312;DoIWD;186
10312;Madzi Alipo;7
10312;WPDx;7
10314;DoIWD;11
10320;510;0
10320;DoIWD;23
10320;Madzi Alipo;1
10320;WPDx;1
10401;DoIWD;720
10401;Madzi Alipo;1157
10401;OSM;1
10401;WPDx;53
10402;DoIWD;127
10402;Madzi Alipo;113
10402;WPDx;1
10403;DoIWD;173
10403;Madzi Alipo;233
10403;WPDx;16
10404;DoIWD;315
10404;Madzi Alipo;673
10404;OSM;2
10404;WPDx;2
10405;DoIWD;104
10405;Madzi Alipo;174
10406;510;0
10407;510;0
10407;DoIWD;214
10407;Madzi Alipo;240
10407;OSM;3
10407;WPDx;23
10408;DoIWD;102
10408;Madzi Alipo;193
10408;WPDx;11
10409;DoIWD;62
10409;Madzi Alipo;113
10409;WPDx;5
10410;WPDx;1
10411;DoIWD;5
10411;Madzi Alipo;3
10411;WPDx;1
10420;DoIWD;58
10420;Madzi Alipo;416
10420;OSM;13
10501;510;0
10501;DoIWD;664
10501;Madzi Alipo;3
10501;WPDx;3
10502;510;0
10502;DoIWD;1206
10502;Madzi Alipo;9
10502;OSM;1
10502;WPDx;6
10503;510;0
10503;DoIWD;340
10504;510;0
10504;DoIWD;94
10505;DoIWD;594
10505;Madzi Alipo;10
10505;WPDx;10
10506;510;0
10506;DoIWD;500
10506;Madzi Alipo;6
10506;OSM;1
10506;WPDx;6
10507;510;0
10507;DoIWD;573
10507;Madzi Alipo;1
10508;510;0
10508;DoIWD;95
10509;DoIWD;233
10509;Madzi Alipo;12
10509;WPDx;38
10510;DoIWD;204
10510;Madzi Alipo;10
10510;WPDx;10
10511;DoIWD;6
10511;Madzi Alipo;2
10511;WPDx;1
10520;510;0
10520;DoIWD;4
10531;DoIWD;30
10532;DoIWD;95
10533;510;0
10534;510;0
10534;DoIWD;1
10535;510;0
10536;510;0
10536;DoIWD;5
10537;510;0
10537;DoIWD;1
10538;510;0
10539;510;0
10540;510;0
10541;510;0
10542;510;0
10543;510;0
10544;510;0
10544;DoIWD;3
10545;510;0
10545;DoIWD;1
10546;DoIWD;23
10601;510;0
20101;510;0
20101;DoIWD;312
20102;DoIWD;138
20102;Madzi Alipo;20
20103;510;0
20103;DoIWD;197
20103;Madzi Alipo;2
20104;DoIWD;58
20105;DoIWD;157
20105;Madzi Alipo;70
20105;WPDx;21
20106;DoIWD;110
20106;Madzi Alipo;4
20107;510;0
20107;DoIWD;91
20107;Madzi Alipo;86
20107;WPDx;3
20108;510;0
20108;DoIWD;77
20108;Madzi Alipo;22
20108;OSM;3
20108;WPDx;15
20109;510;0
20109;DoIWD;117
20109;Madzi Alipo;17
20110;510;0
20110;DoIWD;215
20110;Madzi Alipo;7
20110;WPDx;6
20111;DoIWD;212
20111;Madzi Alipo;193
20111;WPDx;16
20112;510;0
20112;DoIWD;163
20112;Madzi Alipo;14
20113;510;0
20113;DoIWD;92
20113;Madzi Alipo;1
20113;MRCS;32
20114;DoIWD;79
20114;Madzi Alipo;15
20114;WPDx;3
20115;DoIWD;7
20120;510;0
20120;DoIWD;23
20120;Madzi Alipo;31
20120;WPDx;1
20201;510;0
20201;DoIWD;199
20201;Madzi Alipo;1
20201;WPDx;3
20202;510;0
20202;DoIWD;96
20203;510;0
20203;DoIWD;221
20203;Madzi Alipo;13
20203;WPDx;43
20204;510;0
20204;Madzi Alipo;1
20204;WPDx;21
20205;DoIWD;351
20205;Madzi Alipo;14
20205;WPDx;22
20206;DoIWD;184
20206;WPDx;2
20207;DoIWD;1
20207;Madzi Alipo;2
20207;WPDx;2
20220;510;0
20220;DoIWD;54
20220;Madzi Alipo;5
20220;WPDx;8
20301;510;0
20301;DoIWD;88
20302;DoIWD;68
20303;510;0
20303;DoIWD;263
20303;Madzi Alipo;8
20303;WPDx;4
20304;DoIWD;136
20304;WPDx;2
20305;510;0
20305;DoIWD;210
20305;Madzi Alipo;1
20305;WPDx;31
20320;510;0
20320;DoIWD;3
20401;510;0
20401;DoIWD;182
20401;Madzi Alipo;136
20401;WPDx;6
20402;510;0
20402;DoIWD;279
20402;Madzi Alipo;196
20402;WPDx;4
20403;510;0
20403;DoIWD;158
20403;Madzi Alipo;119
20403;WPDx;11
20404;510;0
20404;DoIWD;205
20404;Madzi Alipo;75
20404;WPDx;15
20405;510;0
20405;DoIWD;178
20405;Madzi Alipo;84
20405;WPDx;17
20406;510;0
20406;DoIWD;261
20406;Madzi Alipo;49
20406;WPDx;1
20407;510;0
20407;DoIWD;120
20407;Madzi Alipo;14
20407;WPDx;3
20420;DoIWD;18
20420;Madzi Alipo;6
20421;510;0
20421;DoIWD;14
20421;Madzi Alipo;3
20421;WPDx;1
20501;510;0
20501;CJF;10
20501;DoIWD;163
20501;Madzi Alipo;27
20501;OSM;3
20501;WPDx;27
20502;510;0
20502;DoIWD;233
20502;Madzi Alipo;39
20502;OSM;2
20502;WPDx;10
20503;510;0
20503;DoIWD;94
20503;OSM;15
20504;510;0
20504;DoIWD;101
20504;Madzi Alipo;22
20504;WPDx;21
20505;510;0
20505;DoIWD;194
20505;Madzi Alipo;7
20505;OSM;6
20505;WPDx;9
20506;510;0
20506;DoIWD;55
20506;Madzi Alipo;1
20506;WPDx;1
20507;510;0
20507;DoIWD;252
20507;Madzi Alipo;7
20507;OSM;4
20507;WPDx;6
20508;DoIWD;55
20508;Madzi Alipo;2
20509;510;0
20509;DoIWD;71
20509;Madzi Alipo;1
20510;DoIWD;9
20510;OSM;6
20511;510;0
20520;510;0
20520;DoIWD;51
20520;Madzi Alipo;2
20520;WPDx;2
20521;DoIWD;17
20601;510;0
20601;CJF;103
20601;DoIWD;219
20601;Madzi Alipo;9
20601;WPDx;6
20602;510;0
20602;CJF;186
20602;DoIWD;331
20602;Madzi Alipo;16
20602;WPDx;15
20603;510;0
20603;CJF;138
20603;DoIWD;459
20603;Madzi Alipo;73
20603;OSM;3
20603;WPDx;70
20604;510;0
20604;CJF;157
20604;DoIWD;344
20604;Madzi Alipo;11
20604;OSM;5
20604;WPDx;9
20605;510;0
20605;DoIWD;101
20605;Madzi Alipo;6
20606;510;0
20606;CJF;64
20606;DoIWD;144
20606;Madzi Alipo;12
20606;WPDx;1
20607;510;0
20607;CJF;247
20607;DoIWD;282
20607;Madzi Alipo;12
20607;OSM;8
20608;CJF;125
20608;DoIWD;66
20608;Madzi Alipo;4
20609;510;0
20609;CJF;177
20609;DoIWD;35
20609;Madzi Alipo;2
20609;WPDx;2
20610;CJF;137
20610;DoIWD;200
20610;OSM;1
20610;WPDx;2
20611;CJF;40
20611;DoIWD;114
20611;OSM;2
20612;CJF;55
20612;DoIWD;63
20612;Madzi Alipo;14
20612;WPDx;14
20613;510;0
20613;CJF;7
20613;DoIWD;110
20613;Madzi Alipo;3
20613;WPDx;3
20614;510;0
20614;CJF;5
20614;DoIWD;217
20614;Madzi Alipo;21
20614;WPDx;13
20615;510;0
20615;CJF;213
20615;DoIWD;183
20615;Madzi Alipo;8
20615;WPDx;4
20631;510;0
20631;CJF;1
20632;510;0
20632;CJF;1
20633;510;0
20633;OSM;1
20634;510;0
20635;Madzi Alipo;1
20636;Madzi Alipo;1
20637;510;0
20637;CJF;3
20638;510;0
20638;CJF;6
20639;510;0
20640;510;0
20641;510;0
20642;510;0
20643;510;0
20644;510;0
20645;510;0
20646;510;0
20647;510;0
20648;510;0
20649;510;0
20650;510;0
20651;510;0
20651;CJF;11
20651;DoIWD;15
20652;510;0
20652;CJF;14
20652;DoIWD;16
20653;510;0
20653;CJF;34
20653;DoIWD;37
20653;OSM;1
20654;510;0
20654;CJF;1
20654;DoIWD;6
20655;510;0
20655;CJF;3
20655;DoIWD;1
20655;WPDx;2
20656;510;0
20657;CJF;10
20657;OSM;1
20658;510;0
20659;510;0
20660;510;0
20661;510;0
20662;510;0
20663;510;0
20664;510;0
20665;510;0
20666;510;0
20666;DoIWD;3
20666;OSM;1
20666;WPDx;2
20667;510;0
20668;CJF;1
20668;DoIWD;10
20669;CJF;19
20669;DoIWD;1
20670;510;0
20671;510;0
20672;510;0
20673;CJF;1
20674;510;0
20674;CJF;16
20674;DoIWD;23
20675;CJF;2
20675;Madzi Alipo;4
20675;WPDx;4
20676;510;0
20676;CJF;58
20676;DoIWD;10
20676;Madzi Alipo;1
20676;WPDx;1
20677;510;0
20677;CJF;9
20678;510;0
20679;510;0
20679;CJF;7
20680;510;0
20680;CJF;2
20681;510;0
20682;CJF;13
20682;DoIWD;2
20682;Madzi Alipo;9
20682;WPDx;8
20683;510;0
20683;CJF;14
20683;DoIWD;3
20683;Madzi Alipo;6
20683;WPDx;3
20684;510;0
20684;DoIWD;3
20684;Madzi Alipo;1
20685;510;0
20685;CJF;7
20685;DoIWD;3
20686;510;0
20686;CJF;62
20686;DoIWD;20
20687;510;0
20687;DoIWD;3
20688;510;0
20688;CJF;8
20688;DoIWD;15
20688;Madzi Alipo;5
20688;WPDx;5
20701;DoIWD;113
20702;510;0
20702;DoIWD;231
20703;510;0
20703;DoIWD;253
20703;OSM;1
20704;510;0
20704;DoIWD;229
20704;Madzi Alipo;5
20704;WPDx;4
20705;510;0
20705;DoIWD;117
20705;Madzi Alipo;26
20705;WPDx;20
20706;510;0
20706;DoIWD;93
20706;Madzi Alipo;6
20706;WPDx;8
20720;510;0
20720;DoIWD;6
20801;510;0
20801;DoIWD;461
20801;Madzi Alipo;8
20801;WPDx;6
20802;510;0
20802;DoIWD;196
20802;Madzi Alipo;7
20802;WPDx;7
20803;510;0
20803;CJF;1
20803;DoIWD;453
20803;Madzi Alipo;20
20803;OSM;5
20803;WPDx;22
20804;510;0
20804;DoIWD;594
20805;DoIWD;151
20805;Madzi Alipo;1
20806;510;0
20806;DoIWD;125
20807;510;0
20807;DoIWD;359
20807;Madzi Alipo;9
20807;OSM;2
20807;WPDx;5
20808;510;0
20808;DoIWD;114
20808;Madzi Alipo;13
20808;WPDx;3
20820;510;0
20820;DoIWD;39
20901;510;0
20901;CJF;5
20901;DoIWD;335
20901;Madzi Alipo;426
20902;510;0
20902;CJF;6
20902;DoIWD;296
20902;Madzi Alipo;364
20903;CJF;2
20903;DoIWD;274
20903;Madzi Alipo;461
20903;WPDx;2
20904;DoIWD;470
20904;Madzi Alipo;738
20904;PCI;3
20904;WPDx;5
20905;CJF;39
20905;DoIWD;127
20905;Madzi Alipo;314
20905;WPDx;2
20906;510;0
20906;CJF;10
20906;DoIWD;272
20906;Madzi Alipo;398
20906;WPDx;5
20907;510;0
20907;CJF;4
20907;DoIWD;135
20907;Madzi Alipo;150
20908;510;0
20908;CJF;3
20908;DoIWD;536
20908;Madzi Alipo;625
20908;OSM;2
20909;DoIWD;135
20909;Madzi Alipo;196
20909;OSM;1
20909;WPDx;5
20920;CJF;3
20920;DoIWD;26
20920;Madzi Alipo;71
20920;WPDx;1
30101;510;0
30101;DoIWD;402
30101;Madzi Alipo;56
30101;OSM;23
30101;WPDx;12
30102;510;0
30102;DoIWD;266
30102;Madzi Alipo;66
30102;OSM;46
30102;WPDx;16
30103;510;0
30103;DoIWD;552
30103;DoS;1
30103;Madzi Alipo;135
30103;OSM;22
30103;WPDx;15
30104;510;0
30104;DoIWD;469
30104;DoS;25
30104;Madzi Alipo;280
30105;510;0
30105;DoIWD;356
30105;DoS;17
30105;Madzi Alipo;158
30106;510;0
30106;DoIWD;432
30106;Madzi Alipo;555
30107;510;0
30107;DoIWD;313
30107;DoS;24
30107;Madzi Alipo;61
30108;510;0
30108;DoIWD;208
30108;DoS;21
30108;Madzi Alipo;23
30109;510;0
30109;DoIWD;101
30109;DoS;4
30109;Madzi Alipo;4
30109;OSM;4
30111;510;0
30120;510;0
30120;DoIWD;36
30120;Madzi Alipo;7
30120;WPDx;2
30121;510;0
30121;DoIWD;25
30121;Madzi Alipo;8
30121;WPDx;4
30199;DoIWD;1
30199;Madzi Alipo;1
30199;OSM;1
30201;510;0
30201;DoIWD;326
30201;Madzi Alipo;7
30201;MRCS;33
30201;OSM;2
30201;PCI;3
30202;510;0
30202;DoIWD;299
30202;Madzi Alipo;26
30202;WPDx;20
30203;510;0
30203;DoIWD;553
30203;DoS;4
30203;Madzi Alipo;8
30203;OSM;26
30203;PCI;244
30203;WPDx;2
30204;510;0
30204;DoIWD;112
30204;Madzi Alipo;1
30205;510;0
30205;DoIWD;119
30205;Madzi Alipo;1
30206;510;0
30206;DoIWD;254
30206;Madzi Alipo;2
30206;OSM;11
30207;510;0
30207;DoIWD;191
30207;Madzi Alipo;2
30207;OSM;4
30207;PCI;132
30208;510;0
30208;DoIWD;57
30208;DoS;1
30208;Madzi Alipo;2
30208;PCI;57
30209;DoIWD;84
30209;Madzi Alipo;7
30209;PCI;66
30210;510;0
30210;DoIWD;108
30210;Madzi Alipo;2
30210;PCI;164
30211;DoIWD;2
30220;DoIWD;6
30221;510;0
30221;DoIWD;34
30221;Madzi Alipo;13
30221;OSM;5
30221;PCI;2
30221;WPDx;12
30299;510;0
30301;CJF;1
30301;DoIWD;492
30301;Madzi Alipo;450
30301;WPDx;430
30302;510;64
30302;CJF;2
30302;DoIWD;704
30302;Madzi Alipo;661
30302;OSM;4
30302;WPDx;627
30303;510;0
30303;DoIWD;11
30303;DoS;1
30303;Madzi Alipo;5
30304;CJF;22
30304;DoIWD;146
30304;Madzi Alipo;468
30304;WPDx;439
30305;CJF;8
30305;DoIWD;332
30305;Madzi Alipo;841
30305;WPDx;791
30306;510;0
30306;CJF;9
30306;DoIWD;856
30306;Madzi Alipo;1008
30306;WPDx;913
30307;DoIWD;634
30307;Madzi Alipo;716
30307;WPDx;672
30331;DoIWD;8
30331;Madzi Alipo;14
30331;WPDx;6
30332;510;0
30332;Madzi Alipo;5
30332;WPDx;4
30333;510;0
30334;510;0
30334;Madzi Alipo;1
30335;510;0
30335;DoIWD;123
30335;Madzi Alipo;15
30335;WPDx;10
30336;CJF;3
30336;DoIWD;9
30336;Madzi Alipo;22
30336;WPDx;12
30337;DoIWD;2
30337;Madzi Alipo;3
30337;WPDx;1
30338;510;0
30339;CJF;1
30339;Madzi Alipo;1
30340;Madzi Alipo;2
30340;WPDx;1
30341;510;0
30341;Madzi Alipo;1
30342;510;0
30342;Madzi Alipo;25
30342;WPDx;22
30343;CJF;3
30343;DoIWD;2
30343;Madzi Alipo;15
30343;WPDx;7
30344;CJF;3
30344;DoIWD;5
30344;Madzi Alipo;12
30344;WPDx;7
30399;DoIWD;1
30399;Madzi Alipo;2
30399;WPDx;1
30401;CJF;66
30401;DoIWD;216
30401;Madzi Alipo;65
30401;WPDx;2
30402;510;0
30402;CJF;45
30402;DoIWD;147
30402;Madzi Alipo;58
30402;WPDx;4
30403;510;0
30403;CJF;226
30403;DoIWD;312
30403;Madzi Alipo;75
30404;CJF;209
30404;DoIWD;273
30404;Madzi Alipo;96
30405;CJF;34
30405;DoIWD;85
30405;Madzi Alipo;16
30405;WPDx;10
30406;CJF;21
30406;DoIWD;107
30406;Madzi Alipo;64
30406;WPDx;4
30420;CJF;2
30420;Madzi Alipo;4
30501;510;0
30501;CJF;269
30501;DoIWD;224
30501;Madzi Alipo;167
30501;WPDx;54
30502;510;0
30502;CJF;95
30502;DoIWD;96
30502;Madzi Alipo;38
30502;WPDx;5
30503;CJF;191
30503;DoIWD;221
30503;Madzi Alipo;45
30503;WPDx;3
30504;CJF;135
30504;DoIWD;130
30504;Madzi Alipo;736
30504;WPDx;34
30505;CJF;41
30505;DoIWD;85
30505;Madzi Alipo;24
30505;WPDx;1
30506;510;0
30506;CJF;250
30506;DoIWD;250
30506;Madzi Alipo;311
30506;WPDx;187
30507;510;0
30507;CJF;52
30507;DoIWD;90
30507;Madzi Alipo;35
30507;WPDx;3
30508;CJF;230
30508;DoIWD;199
30508;Madzi Alipo;731
30508;WPDx;345
30531;510;0
30531;CJF;15
30531;DoIWD;18
30531;Madzi Alipo;28
30531;WPDx;53
30532;510;0
30532;CJF;24
30532;DoIWD;20
30532;Madzi Alipo;14
30532;WPDx;28
30533;510;0
30533;CJF;29
30533;DoIWD;6
30533;Madzi Alipo;27
30533;WPDx;34
30534;510;0
30534;CJF;27
30534;DoIWD;2
30534;Madzi Alipo;14
30534;WPDx;27
30535;510;0
30535;CJF;1
30535;Madzi Alipo;3
30535;WPDx;15
30536;510;0
30536;CJF;41
30536;Madzi Alipo;38
30536;WPDx;77
30537;510;0
30537;CJF;5
30537;Madzi Alipo;3
30537;WPDx;13
30538;510;0
30538;CJF;6
30538;Madzi Alipo;4
30538;WPDx;13
30539;510;0
30539;CJF;19
30539;Madzi Alipo;33
30539;WPDx;109
30540;510;0
30540;CJF;8
30540;Madzi Alipo;18
30540;WPDx;24
30541;510;0
30541;CJF;26
30541;DoIWD;5
30541;Madzi Alipo;14
30541;WPDx;25
30542;510;0
30543;510;0
30543;CJF;1
30543;Madzi Alipo;2
30543;WPDx;2
30544;510;0
30544;CJF;1
30544;WPDx;1
30545;510;0
30545;CJF;18
30545;DoIWD;13
30545;Madzi Alipo;10
30545;WPDx;17
30546;510;0
30546;CJF;8
30546;DoIWD;5
30546;Madzi Alipo;7
30546;WPDx;11
30547;510;0
30547;CJF;5
30547;Madzi Alipo;22
30547;WPDx;40
30548;510;0
30548;CJF;10
30548;Madzi Alipo;21
30548;WPDx;52
30549;510;0
30549;DoIWD;1
30550;510;0
30550;Madzi Alipo;1
30551;510;0
30552;510;0
30552;CJF;7
30552;Madzi Alipo;15
30552;WPDx;26
30553;CJF;15
30553;DoIWD;18
30553;Madzi Alipo;11
30553;WPDx;18
30554;510;0
30554;CJF;26
30554;DoIWD;10
30554;Madzi Alipo;68
30554;WPDx;58
30555;510;0
30555;CJF;19
30555;DoIWD;23
30555;Madzi Alipo;45
30555;WPDx;30
30556;CJF;11
30556;DoIWD;2
30556;Madzi Alipo;10
30556;WPDx;14
30601;510;0
30601;DoIWD;44
30601;Madzi Alipo;2
30601;OSM;1
30602;510;0
30602;DoIWD;141
30602;Madzi Alipo;2
30603;CJF;233
30603;DoIWD;143
30603;Madzi Alipo;33
30603;WPDx;2
30604;CJF;240
30604;DoIWD;193
30604;Madzi Alipo;14
30605;510;0
30605;DoIWD;188
30605;Madzi Alipo;6
30606;510;0
30606;DoIWD;86
30606;OSM;1
30607;510;0
30620;CJF;84
30620;DoIWD;22
30620;Madzi Alipo;5
30701;510;0
30701;CJF;36
30701;DoIWD;49
30702;510;0
30702;CJF;2
30702;DoIWD;28
30703;510;0
30703;CJF;11
30703;DoIWD;43
30703;Madzi Alipo;1
30704;510;0
30704;CJF;23
30704;DoIWD;28
30704;Madzi Alipo;3
30705;510;0
30705;CJF;153
30705;DoIWD;117
30705;Madzi Alipo;1
30706;510;0
30706;CJF;49
30706;DoIWD;69
30706;Madzi Alipo;1
30707;510;0
30707;CJF;63
30707;DoIWD;97
30707;Madzi Alipo;4
30708;510;0
30708;CJF;78
30708;DoIWD;271
30708;Madzi Alipo;7
30708;WPDx;2
30709;510;0
30709;CJF;278
30709;DoIWD;287
30709;Madzi Alipo;14
30709;WPDx;1
30710;510;0
30710;CJF;172
30710;DoIWD;108
30710;Madzi Alipo;57
30710;WPDx;7
30711;510;0
30711;CJF;53
30711;DoIWD;104
30711;Madzi Alipo;14
30711;WPDx;3
30720;CJF;1
30720;DoIWD;30
30720;Madzi Alipo;1
30721;CJF;26
30721;DoIWD;29
30721;Madzi Alipo;1
30801;510;0
30801;CJF;285
30801;DoIWD;920
30801;Madzi Alipo;267
30801;WPDx;7
30802;510;0
30802;CJF;36
30802;DoIWD;248
30802;DoS;17
30802;Madzi Alipo;227
30803;CJF;36
30803;DoIWD;496
30803;Madzi Alipo;183
30803;OSM;1
30804;CJF;79
30804;DoIWD;325
30804;Madzi Alipo;4
30805;510;0
30805;CJF;126
30805;DoIWD;462
30805;Madzi Alipo;299
30805;WPDx;25
30806;510;0
30806;CJF;31
30806;DoIWD;386
30806;Madzi Alipo;11
30806;WPDx;5
30807;Madzi Alipo;11
30807;OSM;8
30820;510;0
30820;CJF;15
30820;DoIWD;32
30820;Madzi Alipo;38
30820;WPDx;5
30901;510;0
30901;CJF;468
30901;DoIWD;1116
30901;Madzi Alipo;85
30901;OSM;4
30901;WPDx;10
30902;CJF;359
30902;DoIWD;510
30902;DoS;48
30902;Madzi Alipo;79
30902;WPDx;8
30920;DoIWD;6
30920;Madzi Alipo;2
30920;OSM;1
30999;510;0
31001;510;0
31001;CJF;283
31001;DoIWD;393
31001;Madzi Alipo;1086
31001;OSM;12
31001;WPDx;710
31002;510;0
31002;CJF;62
31002;DoIWD;64
31002;Madzi Alipo;331
31002;OSM;1
31002;WPDx;99
31003;510;0
31003;CJF;305
31003;DoIWD;339
31003;Madzi Alipo;1056
31003;WPDx;710
31004;CJF;60
31004;DoIWD;148
31004;Madzi Alipo;252
31004;WPDx;120
31005;CJF;93
31005;DoIWD;124
31005;Madzi Alipo;257
31005;WPDx;179
31006;CJF;66
31006;DoIWD;72
31006;Madzi Alipo;195
31006;OSM;1
31006;WPDx;199
31007;510;29
31007;CJF;226
31007;DoIWD;274
31007;Madzi Alipo;338
31007;OSM;32
31007;WPDx;364
31008;CJF;5
31008;DoIWD;1
31008;Madzi Alipo;20
31008;WPDx;3
31009;CJF;1
31009;DoIWD;1
31009;Madzi Alipo;3
31020;CJF;3
31020;DoIWD;2
31020;Madzi Alipo;61
31020;WPDx;54
31021;CJF;9
31021;DoIWD;16
31021;Madzi Alipo;73
31021;WPDx;42
31101;510;49
31101;CJF;62
31101;DoIWD;123
31101;Madzi Alipo;125
31101;WPDx;33
31102;510;0
31102;CJF;41
31102;DoIWD;68
31102;Madzi Alipo;36
31102;WPDx;27
31103;510;0
31104;510;0
31104;CJF;178
31104;DoIWD;174
31104;Madzi Alipo;124
31104;OSM;53
31104;WPDx;49
31105;CJF;104
31105;DoIWD;137
31105;Madzi Alipo;88
31105;WPDx;37
31106;510;0
31106;CJF;102
31106;DoIWD;171
31106;Madzi Alipo;211
31106;OSM;10
31106;WPDx;82
31107;510;0
31107;CJF;54
31107;DoIWD;65
31107;Madzi Alipo;60
31107;WPDx;26
31108;510;0
31108;CJF;35
31108;DoIWD;50
31108;Madzi Alipo;16
31108;WPDx;2
31109;510;0
31109;CJF;19
31109;DoIWD;17
31109;Madzi Alipo;35
31109;WPDx;7
31110;CJF;12
31110;DoIWD;6
31110;Madzi Alipo;7
31110;WPDx;5
31120;CJF;65
31120;DoIWD;77
31120;Madzi Alipo;72
31120;WPDx;54
31201;510;0
31201;CJF;2
31201;DoIWD;893
31201;Madzi Alipo;26
31201;MRCS;19
31201;OSM;2
31201;PCI;277
31202;510;0
31202;DoIWD;763
31202;Madzi Alipo;39
31202;PCI;394
31202;WPDx;19
31220;510;0
31220;DoIWD;8
31220;Madzi Alipo;6
31220;PCI;27
31220;WPDx;4
